,mach_id,prod_id,bmc_id,jdlink_rgstn_ts,factory,mdl_yr,last_end_cptr_tm,series_nm,decal_model_nm
27,867,1480,6100,2019-04-12 09:49:56.195350,Washington,2020,2019-04-12 09:49:56.195350,T,S790
28,7475,4818,1744,2020-01-07 09:13:23.809675,Wisconsin,2010,2020-01-07 09:13:23.809675,X, X9 1100
29,2082,5850,1228,2020-08-18 02:03:39.508908,Maine,2012,2020-08-18 02:03:39.508908,S,S790
30,3319,7378,1611,2020-05-16 02:35:00.474946,West Virginia,2013,2020-05-16 02:35:00.474946,S, X9 1100
31,2621,949,3897,2020-01-24 10:02:19.908356,Hawaii,2014,2020-01-24 10:02:19.908356,S,S790
32,3400,6345,4500,2020-05-09 07:50:12.539749,Guam,2013,2020-05-09 07:50:12.539749,T, X9 1100
33,4559,4694,7494,2019-01-02 05:37:55.891931,Wyoming,2018,2019-01-02 05:37:55.891931,X, X9 1100
34,7449,3352,6609,2019-02-16 07:45:49.633044,Vermont,2013,2019-02-16 07:45:49.633044,S,S790
35,9610,4476,9925,2019-02-13 09:12:01.419057,Utah,2014,2019-02-13 09:12:01.419057,W,S790
36,7343,8295,279,2020-02-03 05:26:55.904634,of Columbia,2011,2020-02-03 05:26:55.904634,X,S790
37,7093,935,6262,2020-04-13 05:38:51.167383,Oregon,2018,2020-04-13 05:38:51.167383,X,S790
38,660,867,838,2019-09-05 06:02:37.706349,Nebraska,2013,2019-09-05 06:02:37.706349,X,S790
39,8721,5069,1138,2020-03-09 06:31:31.002157,Hawaii,2018,2020-03-09 06:31:31.002157,T, X9 1100
40,603,1916,2955,2020-10-01 01:29:17.466573,Maine,2010,2020-10-01 01:29:17.466573,T,S790
41,3130,565,6869,2019-09-14 08:44:28.806478,Minnesota,2010,2019-09-14 08:44:28.806478,W, X9 1100
42,3083,1252,2105,2020-09-22 07:36:57.425869,Alaska,2018,2020-09-22 07:36:57.425869,T, X9 1100
43,9153,8632,7666,2020-03-03 05:23:47.761976,Alaska,2014,2020-03-03 05:23:47.761976,S,S790
44,530,9811,6459,2020-11-10 03:41:23.555459,District ,2020,2020-11-10 03:41:23.555459,T, X9 1100
45,263,5764,4723,2020-02-05 10:02:38.571691,Minnesota,2020,2020-02-05 10:02:38.571691,X,S790
46,298,2085,8910,2020-04-22 11:01:10.605101,Arkansas,2012,2020-04-22 11:01:10.605101,T,S790
47,580,1403,1969,2020-04-19 08:58:14.184440,California,2019,2020-04-19 08:58:14.184440,W, X9 1100
48,8072,2606,4925,2019-05-13 03:19:21.457645,Nebraska,2013,2019-05-13 03:19:21.457645,S, X9 1100
49,6162,5977,3318,2020-06-03 08:36:04.043070,Kentucky,2016,2020-06-03 08:36:04.043070,S, X9 1100
50,1760,6455,539,2019-10-22 08:47:28.320902,Georgia,2014,2019-10-22 08:47:28.320902,T, X9 1100
51,8128,222,1504,2020-02-20 03:10:42.823640,Kansas,2010,2020-02-20 03:10:42.823640,X,S790
52,2840,5409,204,2020-09-13 08:11:08.145371,New Jersey,2015,2020-09-13 08:11:08.145371,S,S790
53,8236,9776,4554,2020-09-17 08:55:50.339541,North Carolina,2010,2020-09-17 08:55:50.339541,W,S790
54,6169,3121,3535,2019-09-12 07:35:35.065087,Virginia,2012,2019-09-12 07:35:35.065087,X, X9 1100
55,4749,8796,3135,2020-11-14 00:33:07.485564,Maryland,2018,2020-11-14 00:33:07.485564,S,S790
56,5270,3042,6877,2020-11-22 06:37:21.682141,Wyoming,2018,2020-11-22 06:37:21.682141,T, X9 1100
57,4500,5835,3054,2019-09-03 10:51:25.850481,District ,2019,2019-09-03 10:51:25.850481,S,S790
58,915,2546,3611,2020-11-02 11:05:04.585779,Wisconsin,2017,2020-11-02 11:05:04.585779,T, X9 1100
59,2168,7984,2953,2020-10-03 05:04:19.581596,Tennessee,2020,2020-10-03 05:04:19.581596,T, X9 1100
60,1138,6890,8451,2020-02-15 10:23:51.036730,Georgia,2019,2020-02-15 10:23:51.036730,X, X9 1100
61,5736,1182,9397,2020-06-04 08:28:50.824468,Colorado,2016,2020-06-04 08:28:50.824468,T, X9 1100
62,207,3310,8863,2020-11-05 08:10:30.507089,West Virginia,2019,2020-11-05 08:10:30.507089,S, X9 1100
63,2285,7938,1438,2020-04-05 09:00:56.306539,Virginia,2020,2020-04-05 09:00:56.306539,W,S790
64,7742,2431,7452,2019-10-02 09:00:15.050191,Connecticut,2017,2019-10-02 09:00:15.050191,X, X9 1100
65,9082,5294,3899,2019-08-24 06:11:56.423027,Maine,2010,2019-08-24 06:11:56.423027,T, X9 1100
66,6967,7893,6360,2019-11-20 01:56:09.836317,Utah,2012,2019-11-20 01:56:09.836317,X, X9 1100
67,8439,2870,938,2019-08-21 08:07:34.837966,California,2010,2019-08-21 08:07:34.837966,X, X9 1100
68,77,8692,6873,2019-09-22 04:57:57.027048,Alaska,2010,2019-09-22 04:57:57.027048,S, X9 1100
69,5757,9691,7266,2020-09-20 03:18:11.333139,District ,2010,2020-09-20 03:18:11.333139,T, X9 1100
70,5388,2155,8172,2019-10-02 05:01:07.690371,New York,2016,2019-10-02 05:01:07.690371,W, X9 1100
71,6238,1545,4004,2020-02-23 02:18:22.186963,Georgia,2016,2020-02-23 02:18:22.186963,W,S790
72,2892,8122,354,2020-10-19 09:49:53.544255,Oregon,2010,2020-10-19 09:49:53.544255,W, X9 1100
73,772,4035,1776,2019-10-10 03:39:30.543808,Puerto Rico,2014,2019-10-10 03:39:30.543808,W,S790
74,3412,8473,6018,2019-04-01 04:39:12.551985,Pennsylvania,2012,2019-04-01 04:39:12.551985,X,S790
75,2115,5056,5535,2020-07-11 08:57:23.589282,Wyoming,2017,2020-07-11 08:57:23.589282,S, X9 1100
76,2725,2501,7145,2020-10-08 07:56:44.420215,Nevada,2020,2020-10-08 07:56:44.420215,X, X9 1100
77,324,5478,7205,2020-01-05 08:07:29.027550,Connecticut,2015,2020-01-05 08:07:29.027550,S,S790
78,4617,1253,5380,2020-06-21 07:46:38.496707,Kentucky,2011,2020-06-21 07:46:38.496707,X,S790
79,5159,4367,9279,2019-02-02 01:09:07.605495,Indiana,2020,2019-02-02 01:09:07.605495,T,S790
80,2343,3723,4052,2019-03-11 05:17:54.644866,Vermont,2011,2019-03-11 05:17:54.644866,T, X9 1100
81,4842,8127,721,2019-06-22 03:29:04.370320,Iowa,2017,2019-06-22 03:29:04.370320,W, X9 1100
82,626,6513,2966,2020-10-23 11:45:53.742773,Maryland,2018,2020-10-23 11:45:53.742773,X,S790
83,5725,2248,8533,2019-01-21 00:22:09.821440,Idaho,2018,2019-01-21 00:22:09.821440,S, X9 1100
84,1228,5922,836,2020-06-01 10:06:44.320430,Oklahoma,2017,2020-06-01 10:06:44.320430,X, X9 1100
85,2016,3745,6379,2019-10-21 05:06:17.517253,Missouri,2019,2019-10-21 05:06:17.517253,T, X9 1100
86,7883,9622,498,2020-04-11 06:53:34.983674,Iowa,2020,2020-04-11 06:53:34.983674,S,S790
87,5930,5803,6089,2019-02-15 07:29:30.592021,North Carolina,2014,2019-02-15 07:29:30.592021,W,S790
88,7053,4498,9965,2020-02-02 02:53:38.110229,Illinois,2019,2020-02-02 02:53:38.110229,T,S790
89,370,7692,2993,2019-03-22 02:55:50.909609,Indiana,2015,2019-03-22 02:55:50.909609,S, X9 1100
90,161,5126,4200,2019-07-02 10:49:27.110036,Tennessee,2013,2019-07-02 10:49:27.110036,X, X9 1100
91,8411,2238,1633,2019-04-18 07:22:09.865103,Ohio,2010,2019-04-18 07:22:09.865103,S, X9 1100
92,4957,1369,1641,2020-08-07 02:27:46.206488,Vermont,2017,2020-08-07 02:27:46.206488,W, X9 1100
93,6723,1745,4192,2019-08-07 11:47:38.507902,New Hampshire,2011,2019-08-07 11:47:38.507902,W, X9 1100
94,7668,5683,8752,2020-08-23 08:57:47.446029,New Mexico,2016,2020-08-23 08:57:47.446029,S,S790
95,6694,3072,6505,2020-04-02 05:12:48.612020,Maine,2019,2020-04-02 05:12:48.612020,X,S790
96,1772,8115,9943,2019-02-12 06:25:49.636927,Ohio,2012,2019-02-12 06:25:49.636927,W, X9 1100
97,8070,1949,3335,2019-11-11 00:37:31.648436,Kentucky,2019,2019-11-11 00:37:31.648436,X, X9 1100
98,2942,2162,3675,2019-11-02 03:49:30.883442,Ohio,2020,2019-11-02 03:49:30.883442,S, X9 1100
99,2587,5918,8296,2020-11-01 02:54:10.967501,West Virginia,2014,2020-11-01 02:54:10.967501,W, X9 1100
100,8045,1170,6266,2019-02-22 08:12:13.051174,California,2020,2019-02-22 08:12:13.051174,S,S790
101,4331,7351,1472,2019-08-16 04:48:32.746780,Washington,2020,2019-08-16 04:48:32.746780,X,S790
102,5712,4454,8683,2020-07-14 11:25:27.228843,New Jersey,2015,2020-07-14 11:25:27.228843,T,S790
103,1415,7881,4831,2020-07-16 04:49:22.695780,Mississippi,2016,2020-07-16 04:49:22.695780,S,S790
104,8426,4957,9541,2019-03-15 11:49:51.241106,New York,2020,2019-03-15 11:49:51.241106,T,S790
105,9100,5365,8528,2020-07-12 00:42:35.838671,Michigan,2018,2020-07-12 00:42:35.838671,X, X9 1100
106,8193,1699,186,2020-10-15 01:02:30.922296,Georgia,2019,2020-10-15 01:02:30.922296,X, X9 1100
107,2778,6690,4986,2019-01-04 04:31:01.952984,Rhode Island,2013,2019-01-04 04:31:01.952984,T,S790
108,9951,1536,3635,2019-07-15 06:24:24.541036,Virginia,2013,2019-07-15 06:24:24.541036,S, X9 1100
109,8090,5879,628,2019-03-02 00:20:36.061613,West Virginia,2017,2019-03-02 00:20:36.061613,W,S790
110,6675,9003,6227,2020-07-15 06:46:45.245651,Rhode Island,2011,2020-07-15 06:46:45.245651,T,S790
111,8092,1696,9237,2019-10-02 03:48:57.960896,Illinois,2011,2019-10-02 03:48:57.960896,X, X9 1100
112,2807,9105,7432,2020-01-02 00:39:46.692394,Oklahoma,2016,2020-01-02 00:39:46.692394,S, X9 1100
113,9228,5265,3174,2019-06-21 06:52:26.819091,California,2017,2019-06-21 06:52:26.819091,X, X9 1100
114,9961,4942,4732,2019-04-09 07:54:55.786254,Wyoming,2014,2019-04-09 07:54:55.786254,T, X9 1100
115,7677,7409,8986,2019-01-08 05:24:04.212101,Minnesota,2012,2019-01-08 05:24:04.212101,T, X9 1100
116,2112,5602,6652,2019-10-24 09:06:00.582249,Missouri,2015,2019-10-24 09:06:00.582249,X,S790
117,5511,8894,572,2019-03-02 07:05:44.438179,Utah,2012,2019-03-02 07:05:44.438179,T,S790
118,8220,593,3618,2019-08-09 01:11:43.102300,Nebraska,2013,2019-08-09 01:11:43.102300,S,S790
119,2177,2049,7100,2019-04-20 07:56:10.369160,Virginia,2018,2019-04-20 07:56:10.369160,W, X9 1100
120,244,6824,1515,2019-02-18 03:49:13.596462,South Carolina,2018,2019-02-18 03:49:13.596462,W, X9 1100
121,2707,5325,3278,2019-10-04 09:25:37.187932,Ohio,2011,2019-10-04 09:25:37.187932,S, X9 1100
122,7469,8451,9780,2019-08-17 02:00:07.331928,New Mexico,2015,2019-08-17 02:00:07.331928,X, X9 1100
123,3444,5463,3648,2019-06-17 00:10:01.888329,Missouri,2016,2019-06-17 00:10:01.888329,S,S790
124,4742,4825,8228,2020-06-09 08:11:13.453008,Alaska,2016,2020-06-09 08:11:13.453008,X,S790
125,426,1571,8120,2020-08-01 02:20:51.479615,Rhode Island,2013,2020-08-01 02:20:51.479615,T,S790
126,6198,796,90,2019-04-10 01:47:11.126583,Michigan,2016,2019-04-10 01:47:11.126583,X, X9 1100
127,6793,4079,8819,2020-04-05 04:32:32.362187,Vermont,2018,2020-04-05 04:32:32.362187,T, X9 1100
128,5118,7577,6480,2020-01-01 03:13:24.288060,Montana,2014,2020-01-01 03:13:24.288060,S,S790
129,1295,1810,9308,2019-10-08 02:15:26.272248,Nevada,2012,2019-10-08 02:15:26.272248,X,S790
130,5798,9378,9649,2019-09-19 09:12:47.329475,Oklahoma,2016,2019-09-19 09:12:47.329475,T,S790
131,4633,5930,2685,2019-05-05 11:12:50.477475,Alaska,2015,2019-05-05 11:12:50.477475,W, X9 1100
132,3378,2909,4339,2019-11-14 11:57:27.278689,South Carolina,2017,2019-11-14 11:57:27.278689,X,S790
133,563,7552,6578,2020-08-05 07:22:05.116141,North Carolina,2014,2020-08-05 07:22:05.116141,S, X9 1100
134,8132,148,2510,2020-02-23 06:21:44.800952,Maryland,2014,2020-02-23 06:21:44.800952,W,S790
135,9567,7656,1513,2020-08-23 07:47:53.330512,Delaware,2019,2020-08-23 07:47:53.330512,W,S790
136,2983,5115,4063,2020-07-21 09:52:49.911870,New Hampshire,2017,2020-07-21 09:52:49.911870,W,S790
137,4623,2039,1044,2019-04-13 09:32:11.172846,District ,2011,2019-04-13 09:32:11.172846,W, X9 1100
138,5205,530,8572,2020-05-11 11:34:08.066820,New Hampshire,2020,2020-05-11 11:34:08.066820,W, X9 1100
139,7291,8172,3719,2020-05-05 06:20:08.978221,Massachusetts,2016,2020-05-05 06:20:08.978221,W, X9 1100
140,1323,4627,8405,2020-06-05 06:51:09.722438,Louisiana,2015,2020-06-05 06:51:09.722438,X, X9 1100
141,1322,3315,8251,2019-06-23 08:54:56.685177,Illinois,2016,2019-06-23 08:54:56.685177,X, X9 1100
142,5907,2872,2065,2020-06-19 04:55:37.332944,South Carolina,2012,2020-06-19 04:55:37.332944,W, X9 1100
143,3411,419,2952,2020-02-17 06:57:14.452046,Massachusetts,2018,2020-02-17 06:57:14.452046,S,S790
144,9392,4667,7519,2020-10-24 07:48:35.698436,Wyoming,2014,2020-10-24 07:48:35.698436,T,S790
145,1193,6931,6491,2019-01-03 08:04:01.317756,Rhode Island,2016,2019-01-03 08:04:01.317756,T, X9 1100
146,5273,9358,7931,2020-10-14 03:55:37.926864,Nebraska,2013,2020-10-14 03:55:37.926864,T, X9 1100
147,6578,218,9285,2020-06-19 08:14:04.147322,American Samoa,2017,2020-06-19 08:14:04.147322,X,S790
148,7471,1997,4969,2019-01-07 09:24:08.929920,Georgia,2013,2019-01-07 09:24:08.929920,T, X9 1100
149,2056,886,3282,2019-05-17 10:57:27.078112,Ohio,2011,2019-05-17 10:57:27.078112,S, X9 1100
150,4764,3975,1464,2020-04-12 05:22:24.483000,American Samoa,2016,2020-04-12 05:22:24.483000,S, X9 1100
151,7191,3785,8521,2019-04-05 10:13:57.352142,Rhode Island,2016,2019-04-05 10:13:57.352142,W,S790
152,547,6788,2836,2020-07-15 00:57:32.577149,Michigan,2019,2020-07-15 00:57:32.577149,W, X9 1100
153,6420,3679,4767,2019-08-12 09:27:46.528474,Montana,2011,2019-08-12 09:27:46.528474,S, X9 1100
154,2079,8202,7682,2019-06-09 05:22:29.231223,of Columbia,2016,2019-06-09 05:22:29.231223,X,S790
155,9698,9196,5732,2020-04-05 07:43:15.424637,Michigan,2018,2020-04-05 07:43:15.424637,S,S790
156,5411,7050,2284,2019-07-21 03:33:16.037148,Louisiana,2017,2019-07-21 03:33:16.037148,X,S790
157,4007,1482,7741,2020-01-18 04:08:57.744336,Oklahoma,2017,2020-01-18 04:08:57.744336,W,S790
158,8721,566,8447,2020-06-12 03:11:21.730951,Pennsylvania,2011,2020-06-12 03:11:21.730951,W,S790
159,4605,5429,3610,2019-04-13 02:43:22.761687,New York,2012,2019-04-13 02:43:22.761687,T, X9 1100
160,7958,4378,8406,2020-06-10 03:16:25.846933,Kentucky,2014,2020-06-10 03:16:25.846933,W, X9 1100
161,6477,2645,8295,2019-01-15 01:09:55.214078,Maine,2020,2019-01-15 01:09:55.214078,X, X9 1100
162,3537,2717,5476,2019-11-16 08:01:20.231393,New Hampshire,2014,2019-11-16 08:01:20.231393,X,S790
163,2099,9370,837,2020-11-14 11:25:52.805144,Arizona,2017,2020-11-14 11:25:52.805144,X,S790
164,2545,66,1804,2020-11-10 05:31:09.242597,Massachusetts,2015,2020-11-10 05:31:09.242597,W,S790
165,9648,8168,35,2019-05-10 03:33:39.967691,Maine,2012,2019-05-10 03:33:39.967691,W,S790
166,611,9070,4270,2020-11-19 11:20:01.620501,Texas,2013,2020-11-19 11:20:01.620501,X, X9 1100
167,1202,3890,9263,2020-10-07 00:45:45.823116,Tennessee,2012,2020-10-07 00:45:45.823116,S, X9 1100
168,4911,6844,1249,2020-06-05 08:49:00.501525,New Mexico,2019,2020-06-05 08:49:00.501525,S,S790
169,5068,7818,1009,2020-05-06 06:15:39.367969,Florida,2010,2020-05-06 06:15:39.367969,X,S790
170,6313,971,5912,2020-09-08 05:37:55.962089,of Columbia,2010,2020-09-08 05:37:55.962089,T, X9 1100
171,4139,808,5619,2020-05-16 03:09:23.973397,North Carolina,2015,2020-05-16 03:09:23.973397,W, X9 1100
172,6256,270,6747,2019-10-10 07:46:26.435144,Tennessee,2020,2019-10-10 07:46:26.435144,S,S790
173,4823,2050,577,2020-10-11 01:15:41.561246,South Dakota,2020,2020-10-11 01:15:41.561246,S, X9 1100
174,4491,9895,3491,2019-05-18 08:40:41.249643,Connecticut,2018,2019-05-18 08:40:41.249643,S, X9 1100
175,4868,6836,2416,2020-09-08 11:18:23.071607,Virginia,2011,2020-09-08 11:18:23.071607,T,S790
176,7656,9080,1167,2020-09-11 01:55:03.895245,of Columbia,2018,2020-09-11 01:55:03.895245,X, X9 1100
177,9005,9354,5085,2019-06-01 11:14:37.901981,Guam,2018,2019-06-01 11:14:37.901981,X,S790
178,6617,6420,445,2020-06-23 03:53:09.227585,Illinois,2018,2020-06-23 03:53:09.227585,W, X9 1100
179,6598,2867,129,2019-10-20 11:44:41.075892,Georgia,2010,2019-10-20 11:44:41.075892,T,S790
180,3189,3150,1179,2020-06-09 00:54:07.708283,Nebraska,2016,2020-06-09 00:54:07.708283,T, X9 1100
181,1977,5611,6065,2019-04-17 03:42:16.126387,American Samoa,2013,2019-04-17 03:42:16.126387,S, X9 1100
182,5619,4139,9269,2019-10-19 05:22:23.991240,Mississippi,2018,2019-10-19 05:22:23.991240,S, X9 1100
183,9533,8255,8599,2019-08-19 03:26:07.133097,Michigan,2015,2019-08-19 03:26:07.133097,S,S790
184,5226,8417,7816,2019-11-21 03:41:57.461325,Wyoming,2019,2019-11-21 03:41:57.461325,T, X9 1100
185,7304,1591,9857,2019-10-16 10:36:07.565856,of Columbia,2015,2019-10-16 10:36:07.565856,T, X9 1100
186,4917,8491,123,2019-07-17 05:09:43.472494,Utah,2018,2019-07-17 05:09:43.472494,S,S790
187,4542,308,8506,2019-01-07 03:34:26.990496,Rhode Island,2011,2019-01-07 03:34:26.990496,S, X9 1100
188,2912,6082,6115,2020-08-22 07:44:50.105385,Connecticut,2015,2020-08-22 07:44:50.105385,W, X9 1100
189,7714,1442,2212,2019-03-17 02:11:33.813495,Ohio,2018,2019-03-17 02:11:33.813495,X,S790
190,8767,6756,8398,2020-01-21 11:46:09.271967,South Carolina,2011,2020-01-21 11:46:09.271967,W, X9 1100
191,3722,46,625,2020-05-14 07:54:49.839307,of Columbia,2010,2020-05-14 07:54:49.839307,X,S790
192,9417,9913,2389,2019-04-06 04:56:13.329533,Pennsylvania,2018,2019-04-06 04:56:13.329533,W,S790
193,9041,6236,31,2020-10-22 01:22:36.123764,Vermont,2012,2020-10-22 01:22:36.123764,W,S790
194,1792,9028,3099,2020-08-09 09:48:29.795471,Nevada,2020,2020-08-09 09:48:29.795471,W,S790
195,4388,1650,7511,2020-10-15 05:58:21.127051,West Virginia,2020,2020-10-15 05:58:21.127051,T, X9 1100
196,2554,9550,9566,2019-05-05 03:40:35.356812,Nebraska,2010,2019-05-05 03:40:35.356812,X,S790
197,7406,9742,1961,2020-09-16 00:41:17.853364,Kentucky,2011,2020-09-16 00:41:17.853364,S, X9 1100
198,4441,2480,2935,2019-02-09 03:40:05.266602,Mississippi,2011,2019-02-09 03:40:05.266602,T, X9 1100
199,6535,1660,516,2019-03-21 05:40:39.270167,District ,2019,2019-03-21 05:40:39.270167,T, X9 1100
200,4278,8313,9762,2019-06-21 08:40:56.442666,District ,2010,2019-06-21 08:40:56.442666,T,S790
201,229,1041,395,2019-05-04 04:47:49.839503,Utah,2019,2019-05-04 04:47:49.839503,T,S790
202,5434,6589,5102,2020-11-12 03:29:26.406893,Washington,2011,2020-11-12 03:29:26.406893,W, X9 1100
203,4683,1446,3737,2020-09-02 06:40:06.372795,West Virginia,2016,2020-09-02 06:40:06.372795,X,S790
204,8451,8644,8634,2020-02-20 06:38:28.023530,Massachusetts,2017,2020-02-20 06:38:28.023530,S, X9 1100
205,9224,3611,8841,2020-11-05 02:16:43.958008,New Jersey,2012,2020-11-05 02:16:43.958008,S,S790
206,2568,5659,7730,2019-04-19 05:13:27.572220,New Hampshire,2015,2019-04-19 05:13:27.572220,W,S790
207,3814,4944,3771,2019-02-21 06:03:25.474793,Nebraska,2015,2019-02-21 06:03:25.474793,X, X9 1100
208,207,4468,1706,2020-03-05 06:41:00.255702,Mississippi,2016,2020-03-05 06:41:00.255702,X,S790
209,3544,6060,7477,2019-05-16 00:49:08.735542,Puerto Rico,2016,2019-05-16 00:49:08.735542,T,S790
210,9744,8736,2658,2019-06-02 00:16:08.101780,North Carolina,2015,2019-06-02 00:16:08.101780,S, X9 1100
211,3918,4260,7539,2020-10-05 01:43:34.514319,Delaware,2011,2020-10-05 01:43:34.514319,T, X9 1100
212,6155,855,4487,2019-08-20 03:54:23.087998,Ohio,2010,2019-08-20 03:54:23.087998,S,S790
213,7755,4292,7905,2020-06-01 05:23:28.415852,Ohio,2020,2020-06-01 05:23:28.415852,S, X9 1100
214,3603,9488,9851,2020-06-01 08:17:01.622872,Washington,2019,2020-06-01 08:17:01.622872,W,S790
215,1590,9113,8849,2019-04-21 10:36:31.801949,Wyoming,2013,2019-04-21 10:36:31.801949,X, X9 1100
216,518,6742,5850,2020-01-16 10:44:51.678240,Mississippi,2011,2020-01-16 10:44:51.678240,X,S790
217,3365,9760,4341,2019-11-06 03:17:27.881975,Kansas,2020,2019-11-06 03:17:27.881975,W,S790
218,4599,4511,5637,2019-03-24 01:02:30.044588,Nevada,2018,2019-03-24 01:02:30.044588,X,S790
219,8557,6024,9074,2020-08-15 02:33:40.252771,Texas,2017,2020-08-15 02:33:40.252771,W,S790
220,9379,6145,4788,2020-02-07 05:12:46.839175,New Jersey,2015,2020-02-07 05:12:46.839175,S,S790
221,9836,5461,846,2019-01-06 09:58:00.391262,Idaho,2015,2019-01-06 09:58:00.391262,S, X9 1100
222,4930,4060,835,2019-04-09 09:57:01.408701,South Dakota,2020,2019-04-09 09:57:01.408701,X, X9 1100
223,2142,9096,9935,2019-01-24 11:28:44.863415,Pennsylvania,2016,2019-01-24 11:28:44.863415,W,S790
224,4746,3408,4128,2019-02-01 00:32:51.261423,Connecticut,2017,2019-02-01 00:32:51.261423,S, X9 1100
225,3594,1449,1422,2020-02-19 00:43:22.525599,Puerto Rico,2018,2020-02-19 00:43:22.525599,W, X9 1100
226,5339,8065,1528,2020-07-11 10:25:12.732744,Colorado,2012,2020-07-11 10:25:12.732744,X,S790
227,7929,1963,8377,2019-11-22 06:37:51.417461,Michigan,2018,2019-11-22 06:37:51.417461,T, X9 1100
228,1458,7634,3509,2020-01-01 10:36:28.516555,Idaho,2014,2020-01-01 10:36:28.516555,X, X9 1100
229,9733,2276,3988,2019-04-12 04:25:06.649072,Delaware,2017,2019-04-12 04:25:06.649072,X, X9 1100
230,8658,9814,6056,2019-04-15 11:54:49.572173,Iowa,2013,2019-04-15 11:54:49.572173,T, X9 1100
231,5747,4123,0,2019-06-15 03:53:18.120605,Rhode Island,2020,2019-06-15 03:53:18.120605,S, X9 1100
232,1605,7547,9494,2020-05-21 01:41:16.115636,Texas,2018,2020-05-21 01:41:16.115636,S, X9 1100
233,7451,7464,3866,2020-05-24 07:46:40.241495,Idaho,2015,2020-05-24 07:46:40.241495,W,S790
234,7125,3056,2506,2020-02-17 07:18:35.805578,Missouri,2013,2020-02-17 07:18:35.805578,S,S790
235,4342,1705,9827,2020-11-06 00:19:19.907263,Pennsylvania,2015,2020-11-06 00:19:19.907263,W, X9 1100
236,5554,2563,4792,2019-08-05 05:15:25.047034,Missouri,2014,2019-08-05 05:15:25.047034,S,S790
237,6474,1331,5461,2020-02-11 05:16:25.630584,Hawaii,2013,2020-02-11 05:16:25.630584,S,S790
238,1455,1283,7009,2019-04-09 11:56:18.759863,North Dakota,2015,2019-04-09 11:56:18.759863,S, X9 1100
239,6508,1966,4009,2019-09-01 05:56:51.088068,North Dakota,2010,2019-09-01 05:56:51.088068,X, X9 1100
